41 , +28.00  , +7.989272E-1  , +1.000000E-6  , +3.012656E-2  , +3.012690E-2  , +3.012600E-2  , +4.176123E-7  , 3.012656E+4 , 1.96 , +3.360000E+0  , +3.360000E-6  , +1.165848E-2  , +3.320000E+0  , +3.320000E-6  , +1.150739E-2  , 
42 , +30.00  , +8.559934E-1  , +1.000000E-6  , +3.013336E-2  , +3.013430E-2  , +3.013220E-2  , +6.711185E-7  , 3.013336E+4 , 1.99 , +3.390000E+0  , +3.390000E-6  , +1.137083E-2  , +3.400000E+0  , +3.400000E-6  , +1.143970E-2  , 
43 , +32.00  , +9.130596E-1  , +1.000000E-6  , +3.014012E-2  , +3.014030E-2  , +3.013990E-2  , +1.469694E-7  , 3.014012E+4 , 2.01 , +3.450000E+0  , +3.450000E-6  , +1.147235E-2  , +3.380000E+0  , +3.380000E-6  , +1.191353E-2  , 
44 , +34.00  , +9.701258E-1  , +1.000000E-6  , +3.014716E-2  , +3.014770E-2  , +3.014640E-2  , +4.317407E-7  , 3.014716E+4 , 2.03 , +3.490000E+0  , +3.490000E-6  , +1.167540E-2  , +3.520000E+0  , +3.520000E-6  , +1.171046E-2  , 
45 , +36.00  , +1.027192E+0  , +1.000000E-6  , +3.015408E-2  , +3.015510E-2  , +3.015230E-2  , +1.000800E-6  , 3.015408E+4 , 2.06 , +3.640000E+0  , +3.640000E-6  , +1.181077E-2  , +3.460000E+0  , +3.460000E-6  , +1.292889E-2  , 
46 , +38.00  , +1.084258E+0  , +1.000000E-6  , +3.016172E-2  , +3.016270E-2  , +3.016100E-2  , +7.359348E-7  , 3.016172E+4 , 2.08 , +3.680000E+0  , +3.680000E-6  , +1.231840E-2  , +3.820000E+0  , +3.820000E-6  , +1.198122E-2  , 
47 , +40.00  , +1.141325E+0  , +1.000000E-6  , +3.016880E-2  , +3.017000E-2  , +3.016790E-2  , +7.823043E-7  , 3.016880E+4 , 2.11 , +3.539545E+0  , +3.539545E-6  , +1.186123E-2  , +3.540000E+0  , +3.540000E-6  , +1.196430E-2  , 
48 , +60.00  , +1.711987E+0  , +1.000000E-6  , +3.023950E-2  , +3.024040E-2  , +3.023840E-2  , +6.572671E-7  , 3.023950E+4 , 2.35 , +3.521500E+0  , +3.521500E-6  , +6.580528E-3  , +3.535000E+0  , +3.535000E-6  , +1.187292E-2  , 
49 , +80.00  , +2.282649E+0  , +1.000000E-6  , +3.030966E-2  , +3.031030E-2  , +3.030940E-2  , +3.382307E-7  , 3.030966E+4 , 2.58 , +3.502500E+0  , +3.502500E-6  , +1.191737E-2  , +3.508000E+0  , +3.508000E-6  , +1.183569E-2  , 
50 , +100.00  , +2.853311E+0  , +1.000000E-6  , +3.037960E-2  , +3.038050E-2  , +3.037840E-2  , +6.957011E-7  , 3.037960E+4 , 2.82 , +3.499500E+0  , +3.499500E-6  , +1.185307E-2  , +3.497000E+0  , +3.497000E-6  , +1.185261E-2  , 
51 , +120.00  , +3.423974E+0  , +1.000000E-6  , +3.044964E-2  , +3.045040E-2  , +3.044890E-2  , +5.238320E-7  , 3.044964E+4 , 3.06 , +3.507000E+0  , +3.507000E-6  , +1.184292E-2  , +3.502000E+0  , +3.502000E-6  , +1.188645E-2  , 
52 , +140.00  , +3.994636E+0  , +1.000000E-6  , +3.051988E-2  , +3.052160E-2  , +3.051810E-2  , +1.260793E-6  , 3.051988E+4 , 3.30 , +4.433905E+0  , +4.433905E-6  , +2.269495E-1  , +3.512000E+0  , +3.512000E-6  , +1.516267E-2  , 
53 , +141.00  , +4.023169E+0  , +1.000000E-6  , +3.052436E-2  , +3.052490E-2  , +3.052400E-2  , +3.382307E-7  , 3.052436E+4 , 3.31 ,  ,  ,  , +4.480000E+0  , +4.480000E-6  , +2.377044E-1  , 
54 , +141.00  , +4.023169E+0  , +1.000000E-6  , +3.052362E-2  , +3.052410E-2  , +3.052310E-2  , +3.249615E-7  , 3.052362E+4 , 3.31 ,  ,  ,  ,  ,  ,  , 
55 , +140.00  , +3.994636E+0  , +1.000000E-6  , +3.051980E-2  , +3.052010E-2  , +3.051900E-2  , +4.049691E-7  , 3.051980E+4 , 3.30 , +3.803952E+0  , +3.803952E-6  , +2.415817E-3  , +3.820000E+0  , +3.820000E-6  , +1.178830E-2  , 
56 , +120.00  , +3.423974E+0  , +1.000000E-6  , +3.045014E-2  , +3.045060E-2  , +3.044930E-2  , +4.800000E-7  , 3.045014E+4 , 3.06 , +3.482500E+0  , +3.482500E-6  , +6.216729E-3  , +3.483000E+0  , +3.483000E-6  , +1.178492E-2  , 
57 , +100.00  , +2.853311E+0  , +1.000000E-6  , +3.038050E-2  , +3.038130E-2  , +3.037980E-2  , +4.774935E-7  , 3.038050E+4 , 2.82 , +3.480000E+0  , +3.480000E-6  , +1.178539E-2  , +3.482000E+0  , +3.482000E-6  , +1.177138E-2  , 
58 , +80.00  , +2.282649E+0  , +1.000000E-6  , +3.031094E-2  , +3.031130E-2  , +3.031070E-2  , +1.959592E-7  , 3.031094E+4 , 2.59 , +3.473500E+0  , +3.473500E-6  , +1.177693E-2  , +3.478000E+0  , +3.478000E-6  , +1.174092E-2  , 
59 , +60.00  , +1.711987E+0  , +1.000000E-6  , +3.024156E-2  , +3.024250E-2  , +3.024090E-2  , +5.351635E-7  , 3.024156E+4 , 2.35 , +3.478500E+0  , +3.478500E-6  , +1.175493E-2  , +3.469000E+0  , +3.469000E-6  , +1.180522E-2  , 
60 , +40.00  , +1.141325E+0  , +1.000000E-6  , +3.017180E-2  , +3.017230E-2  , +3.017120E-2  , +4.604346E-7  , 3.017180E+4 , 2.12 , +3.708000E+0  , +3.708000E-6  , +1.083764E-1  , +3.488000E+0  , +3.488000E-6  , +1.262428E-2  , 
61 , +38.00  , +1.084258E+0  , +1.000000E-6  , +3.016434E-2  , +3.016480E-2  , +3.016400E-2  , +3.773592E-7  , 3.016434E+4 , 2.09 , +3.685000E+0  , +3.685000E-6  , +6.533150E-2  , +3.730000E+0  , +3.730000E-6  , +1.231967E-2  , 
62 , +36.00  , +1.027192E+0  , +1.000000E-6  , +3.015706E-2  , +3.015810E-2  , +3.015610E-2  , +7.002857E-7  , 3.015706E+4 , 2.07 , +3.660000E+0  , +3.660000E-6  , +1.247068E-2  , +3.640000E+0  , +3.640000E-6  , +1.245505E-2  , 
63 , +34.00  , +9.701258E-1  , +1.000000E-6  , +3.014970E-2  , +3.015010E-2  , +3.014940E-2  , +2.366432E-7  , 3.014970E+4 , 2.04 , +3.360000E+0  , +3.360000E-6  , +1.238608E-2  , +3.680000E+0  , +3.680000E-6  , +1.028896E-2  , 
