mass_A
t	x	y
8.133333333E0	-1.587968601E-1	-4.258429149E-3
8.166666667E0	-1.577231196E-1	-4.315305887E-3
8.200000000E0	-1.563069360E-1	-4.211425145E-3
8.233333333E0	-1.544933784E-1	-4.579180550E-3
8.266666667E0	-1.530927993E-1	-4.257413194E-3
8.300000000E0	-1.518359952E-1	-4.330377847E-3
8.333333333E0	-1.503823578E-1	-4.322732767E-3
8.366666667E0	-1.491117076E-1	-4.289226852E-3
8.400000000E0	-1.481405954E-1	-4.261968368E-3
8.433333333E0	-1.469109541E-1	-4.254780433E-3
8.466666667E0	-1.460164340E-1	-4.604399107E-3
8.500000000E0	-1.450587809E-1	-4.595570983E-3
8.533333333E0	-1.445868659E-1	-4.653555784E-3
8.566666667E0	-1.441992582E-1	-4.700318670E-3
8.600000000E0	-1.439341206E-1	-4.641499137E-3
8.633333333E0	-1.439632517E-1	-4.661938937E-3
8.666666667E0	-1.440689559E-1	-4.662464799E-3
8.700000000E0	-1.442243388E-1	-4.705564829E-3
8.733333333E0	-1.445380752E-1	-4.654002982E-3
8.766666667E0	-1.451364606E-1	-4.675066243E-3
8.800000000E0	-1.460168011E-1	-4.627800998E-3
8.833333333E0	-1.467101328E-1	-4.532918008E-3
8.866666667E0	-1.479246155E-1	-4.593001157E-3
8.900000000E0	-1.488268614E-1	-4.673643151E-3
8.933333333E0	-1.499731202E-1	-4.581808788E-3
8.966666667E0	-1.509951222E-1	-4.651954441E-3
9.000000000E0	-1.518933901E-1	-4.651150797E-3
9.033333333E0	-1.527947031E-1	-4.624914228E-3
9.066666667E0	-1.539573765E-1	-4.672551297E-3
9.100000000E0	-1.547120060E-1	-4.618503068E-3
9.133333333E0	-1.558223037E-1	-4.355540546E-3
9.166666667E0	-1.564550039E-1	-4.303948795E-3
9.200000000E0	-1.569965984E-1	-4.237427824E-3
9.233333333E0	-1.574383346E-1	-4.308448865E-3
9.266666667E0	-1.576668483E-1	-4.318047477E-3
9.300000000E0	-1.577396267E-1	-4.320656980E-3
9.333333333E0	-1.579172730E-1	-4.301783418E-3
9.366666667E0	-1.579338800E-1	-4.332566055E-3
9.400000000E0	-1.576384966E-1	-4.266101285E-3
9.433333333E0	-1.573788376E-1	-4.195846185E-3
9.466666667E0	-1.570951605E-1	-4.206595542E-3
9.500000000E0	-1.565284964E-1	-4.186855413E-3
9.533333333E0	-1.556903434E-1	-4.230821664E-3
9.566666667E0	-1.551123993E-1	-4.280857496E-3
9.600000000E0	-1.544602726E-1	-4.408297375E-3
9.633333333E0	-1.535879638E-1	-8.579606373E-3
9.666666667E0	-1.529775209E-1	-8.744481005E-3
9.700000000E0	-1.523896982E-1	-8.820657937E-3
9.733333333E0	-1.517071260E-1	-8.856520261E-3
9.766666667E0	-1.508482000E-1	-8.760786137E-3
9.800000000E0	-1.501580198E-1	-8.709421562E-3
9.833333333E0	-1.497757998E-1	-8.659565458E-3
9.866666667E0	-1.491027617E-1	-8.664725747E-3
9.900000000E0	-1.487312062E-1	-8.643898869E-3
9.933333333E0	-1.484220791E-1	-8.628812808E-3
9.966666667E0	-1.484324620E-1	-8.662651145E-3
1.000000000E1	-1.484021759E-1	-8.650238727E-3
1.003333333E1	-1.484778667E-1	-8.666157712E-3
1.006666667E1	-1.485391101E-1	-8.664642445E-3
